mapped_owner,missing_owner,official_name,descriptor,mapped_named,mapped_source
com/corrodinggames/rts/gameFramework/w,com/corrodinggames/rts/game/units/b/d,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/gameFramework/w,com/corrodinggames/rts/game/units/d/i,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/gameFramework/w,com/corrodinggames/rts/game/units/e/i,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/gameFramework/w,com/corrodinggames/rts/game/units/y,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/gameFramework/w,com/corrodinggames/rts/gameFramework/ay,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/java/audio/a/h,com/corrodinggames/rts/java/audio/a/f,remove,()V,remove,v0.60-audio-backend
com/corrodinggames/rts/java/audio/a/l,com/corrodinggames/rts/java/audio/a/j,remove,()V,remove,v0.60-audio-backend
com/corrodinggames/rts/java/audio/a/r,com/corrodinggames/rts/java/audio/a/p,remove,()V,remove,v0.60-audio-backend
com/corrodinggames/rts/gameFramework/j/ac,com/corrodinggames/rts/java/Main,a,(Lcom/corrodinggames/rts/gameFramework/j/ae;)V,onPasswordPrompt,v0.63-steam-network-transport
com/corrodinggames/rts/gameFramework/j/ae,com/corrodinggames/rts/game/units/h$9$1,a,(Ljava/lang/String;)V,submitPassword,v0.63-steam-network-transport
com/corrodinggames/rts/gameFramework/j/ae,com/corrodinggames/rts/game/units/h$9$1,a,()V,cancelPasswordPrompt,v0.63-steam-network-transport
com/corrodinggames/rts/gameFramework/j/r,com/corrodinggames/rts/java/k,a,(IZ)Lorg/apache/http/client/HttpClient;,newHttpClient,v0.63-steam-network-transport
com/corrodinggames/rts/gameFramework/j/r,com/corrodinggames/rts/java/k,a,(Lorg/apache/http/client/HttpClient;)V,releaseHttpClient,v0.63-steam-network-transport
